   Compiling ../../../src/bckups/filter_tb.cpp in debug mode
   Generating csim.exe
Length of the input stream 	0
Length of the input stream 	2300001
Coef. index # 0		(0.9999,-0.3649)
Coef. index # 1		(0.67377,-0.53343)
Coef. index # 2		(0.4539,0.00530005)
Coef. index # 3		(0.2845,-0.81049)
Coef. index # 4		(0.39018,-0.5515)
Coef. index # 5		(-0.0217,-0.2136)
Coef. index # 6		(0.94278,-0.24482)
Coef. index # 7		(0.6568,0.0484999)
Coef. index # 8		(0.1522,0.93)
Coef. index # 9		(0.098135,-0.7696)
Coef. index # 10		(-0.0862,-0.101)
Coef. index # 11		(-0.8086,0.049083)
Coef. index # 12		(0.8888,0.1339)
Coef. index # 13		(0.0599,0.6936)
Coef. index # 14		(-0.19603,0.98577)
Coef. index # 15		(-0.1921,-0.0295)
Coef. index # 16		(-0.5858,0.34193)
Coef. index # 17		(-0.85513,0.2598)
Coef. index # 18		(0.00960004,0.4856)
Coef. index # 19		(-0.48596,0.71977)
Coef. index # 20		(-0.3371,-0.000699997)
Coef. index # 21		(-0.3936,0.62736)
Coef. index # 22		(-0.58058,0.4232)
Coef. index # 23		(0.00230002,0.3103)
Coef. index # 24		(-0.76537,0.43819)
Coef. index # 25		(-0.5182,-0.0151)
Coef. index # 26		(-0.2362,0.89922)
Coef. index # 27		(-0.29347,0.6209)
Coef. index # 28		(0.0384001,0.1715)
Coef. index # 29		(0.9718,0.14713)
Coef. index # 30		(-0.7313,-0.0725)
Coef. index # 31		(-0.117,-0.8484)
Coef. index # 32		(0,0.8483)
Coef. index # 33		(0.1168,0.0724)
Coef. index # 34		(0.7312,-0.14713)
Coef. index # 35		(-0.9718,-0.1717)
Coef. index # 36		(-0.0385,-0.6209)
Coef. index # 37		(0.29347,-0.89926)
Coef. index # 38		(0.2361,0.015)
Coef. index # 39		(0.5181,-0.4382)
Coef. index # 40		(0.76534,-0.3104)
Coef. index # 41		(-0.00250006,-0.4233)
Coef. index # 42		(0.58058,-0.62739)
Coef. index # 43		(0.3935,0.000499964)
Coef. index # 44		(0.337,-0.71978)
Coef. index # 45		(0.48594,-0.4857)
Coef. index # 46		(-0.00969994,-0.2599)
Coef. index # 47		(0.85512,-0.34194)
Coef. index # 48		(0.5857,0.0294)
Coef. index # 49		(0.192,-0.98579)
Coef. index # 50		(0.19603,-0.6937)
Coef. index # 51		(-0.0599999,-0.1341)
Coef. index # 52		(-0.8888,-0.049084)
Coef. index # 53		(0.8085,0.1009)
Coef. index # 54		(0.0861,0.7695)
Coef. index # 55		(-0.098132,-0.9301)
Coef. index # 56		(-0.1523,-0.0486)
Coef. index # 57		(-0.6569,0.24483)
Coef. index # 58		(-0.94284,0.2135)
Coef. index # 59		(0.0216,0.5515)
Coef. index # 60		(-0.39017,0.81044)
Coef. index # 61		(-0.2846,-0.00549996)
Coef. index # 62		(-0.454,0.53344)
Coef. index # 63		(-0.67382,0.3647)
Coef. index # 64		(-9.98974e-05,0.3648)
Coef. index # 65		(-0.67376,0.5334)
Coef. index # 66		(-0.4541,-0.00549996)
Coef. index # 67		(-0.2845,0.81051)
Coef. index # 68		(-0.3902,0.5514)
Coef. index # 69		(0.0216,0.2135)
Coef. index # 70		(-0.94277,0.24481)
Coef. index # 71		(-0.657,-0.0487)
Coef. index # 72		(-0.1523,-0.93)
Coef. index # 73		(-0.098141,0.7695)
Coef. index # 74		(0.086,0.1009)
Coef. index # 75		(0.8086,-0.04908)
Coef. index # 76		(-0.8889,-0.1341)
Coef. index # 77		(-0.0599999,-0.6936)
Coef. index # 78		(0.19605,-0.98586)
Coef. index # 79		(0.1919,0.0294)
Coef. index # 80		(0.5858,-0.3419)
Coef. index # 81		(0.85505,-0.2599)
Coef. index # 82		(-0.00969994,-0.4855)
Coef. index # 83		(0.48599,-0.71984)
Coef. index # 84		(0.337,0.000499964)
